what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.managedapis,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.managedapis",1347411857259
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.suite.ext",1347411857259
started,bundle,org.eclipse.mylyn.commons.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.core",1347411857259
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.ui",1347411857376
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.bugzilla.core",1347411857413
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.bugzilla.ui",1347411857523
started,bundle,org.eclipse.mylyn.commons.net,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.net",1347411857523
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.core",1347411857552
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.feed",1347411857649
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.ui",1347411857691
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.workbench",1347411857760
started,bundle,org.eclipse.mylyn.context.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.core",1347411857760
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.tasks.ui",1347411857774
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.monitor.ui",1347411857808
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.index.core",1347411857859
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1347411857971
started,bundle,com.aptana.core,3.0.4.1333747033,"com.aptana.core",1347411857971
os,sysinfo,,,"macosx",1347411857973
arch,sysinfo,,,"x86",1347411857973
ws,sysinfo,,,"cocoa",1347411857973
locale,sysinfo,,,"en_US",1347411857973
processors,sysinfo,,,"4",1347411857973
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347411857973
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11D50d",1347411857973
java.specification.name,sysinfo,,,"Java Platform API Specification",1347411857973
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347411857973
java.specification.version,sysinfo,,,"1.6",1347411857973
java.vendor,sysinfo,,,"Apple Inc.",1347411857973
java.version,sysinfo,,,"1.6.0_29",1347411857973
java.vm.info,sysinfo,,,"mixed mode",1347411857973
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1347411857974
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347411857974
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347411857974
java.vm.specification.version,sysinfo,,,"1.0",1347411857974
java.vm.vendor,sysinfo,,,"Apple Inc.",1347411857974
java.vm.version,sysinfo,,,"20.4-b02-402",1347411857974
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1347411858247
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1347411858269
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1347411858284
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1347411858892
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1347411859023
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1347411859226
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1347411859362
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1347411859422
started,bundle,com.android.ide.eclipse.ddms,17.0.0.v201203161636-291853,"com.android.ide.eclipse.ddms",1347411861614
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1347411862064
started,bundle,com.aptana.portal.ui,3.0.0.1332438759,"com.aptana.portal.ui",1347411862217
started,bundle,com.aptana.filewatcher,3.0.1.1331996002,"com.aptana.filewatcher",1347411862324
started,bundle,com.aptana.scripting,3.0.0.1332781285,"com.aptana.scripting",1347411862416
started,bundle,com.aptana.scripting.ui,3.0.0.1331931110,"com.aptana.scripting.ui",1347411862591
started,bundle,com.aptana.theme,3.0.0.1332432136,"com.aptana.theme",1347411862697
started,bundle,com.aptana.usage,3.0.0.1334367142,"com.aptana.usage",1347411862788
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1347411864104
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1347411864180
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1347411864417
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1347411864574
started,bundle,com.aptana.explorer,3.0.0.1331579821,"com.aptana.explorer",1347411864646
started,bundle,org.eclipse.jface,3.4.2.M20090107-0800,"org.eclipse.jface",1347411867567
started,bundle,org.python.pydev.red_core,2.5.0.2012040618,"org.python.pydev.red_core",1347411868044
started,bundle,com.aptana.ui,3.0.3.1331579821,"com.aptana.ui",1347411868523
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1347411870443
